"sideeffectid","name"
"22454","Infección por micobacteria atípica"
"22473","Accidente isquémico transitorio"
"22483","Linfocele"
"22493","Cicatrización (anomalía)"
"22503","Enzimas hepáticas (aumento)"
"22513","Hiperemia del conducto auditivo"
"22523","Cardiomegalia"
"22533","Insuficiencia mitral"
"22543","Fibrilación supraventricular"
"22553","Autoanticuerpos"
"22563","Hipertonía"
"22573","Dolor esofágico"
"22593","Quiste renal"
"22603","Disociación electromecánica"
"22613","Lupus eritematoso cutáneo (empeoramiento)"
"22623","Comunicación interventricular"
"22643","Anemia microcitaria"
"22653","Lupus eritematoso cutáneo"
"22703","Dolor de las extremidades superiores"
"22723","Insuficiencia multiorgánica"
"22733","Desinhibición sexual"
"22743","T4 (disminución)"
"22753","Prurito palpebral"
"22763","Trombosis de la fístula arteriovenosa"
"22773","Hemorragia en el sitio de punción"
"22783","Parálisis"
"22803","Hipoventilación"
"22813","Traqueítis"
"22843","Erupción cutánea generalizada"
"22863","Enteritis"
"22903","Alteración de la voz"
"22913","Despersonalización"
"22923","Afectación de las faneras"
"22933","Trastorno de la función inotropa"
"22943","Trastorno del automatismo"
"22953","Hipermelanosis"
"22963","Hipomelanosis"
"22974","Iridociclitis"
"22983","Asistolia"
"22984","Irritabilidad"
"23003","Pilosidad (modificación)"
"23013","Adenoma hipofisario"
"23023","Sensación de tensión retroocular"
"23053","Fenilalaninemia (aumento)"
"23073","Afectación vascular"
"23093","Perforación de la pared uterina"
"23103","Enfermedad inflamatoria intestinal (empeoramiento)"
"23113","Revulsión ocular"
"23123","Síndrome de compresión de la vena cava superior"
"23133","Angioedema intestinal"
"23143","Presión arterial (disminución)"
"23153","Tendinopatía"
"23163","Síndrome premenstrual"
"23193","Tumor estrogenodependiente"
"23203","Neuritis"
"23213","Enfermedad psiquiátrica (empeoramiento)"
"23223","Sensación de quemazón en el punto de aplicación"
"23233","Prurito ocular"
"23253","Gripe"
"23263","Papiloma cutáneo"
"23273","INFECTOLOGÍA NO ESPECIFICADA"
"23293","Erupción purpúrica"
"23303","Cortisoluria (disminución)"
"23323","Infarto cerebrovascular"
"23333","Erupción vesiculosa"
"23353","Retinitis"
"23373","Erupción tipo herpes labial"
"23383","Orquitis"
"23393","Dolor de los miembros"
"23403","Amilasemia (disminución)"
"23413","Hormigueo del cuero cabelludo"
"23433","Hidronefrosis"
"23443","Cáncer de vulva"
"23453","Pancitopenia"
"23493","Íleo"
"23503","Retraso de la menstruación"
"23513","Irritación periorbital"
"23523","Enantema"
"23524","Narcolepsia"
"23533","Colecistitis"
"23543","Lesión del cuello uterino"
"23563","Dolor perianal"
"23573","Variz"
"23583","Intolerancia al alcohol"
"23603","Esclerosis venosa"
"23614","Nocardiosis"
"23643","Endometrio (anomalía)"
"23653","Trastorno rectal"
"23663","Estertor bronquial"
"23683","Infarto de miocardio (recidiva)"
"23693","Trombosis vascular retiniana"
"23703","Síndrome vasovagal"
"23713","Obstrucción ureteral"
"23723","Irritación periapical dental"
"23724","Orzuelo"
"23733","Color del cabello (modificación)"
"23743","Creatininemia (disminución)"
"23753","Urobilinuria"
"23763","Dolor en el miembro tratado"
"23783","Dolor en el punto de inserción"
"23793","Dolor peneano"
"23794","Otitis externa"
"23803","Dolor en el cuello"
"23813","Modificación mamaria"
"23843","Inflamación en el punto de aplicación"
"23853","Edema del miembro tratado"
"23863","Edema en el punto de aplicación"
"23873","Edema del prepucio"
"23883","Edema alérgico"
"23894","Oxiurosis"
"23913","Reacción cutánea en el punto de aplicación"
"23923","Irritación del conducto auditivo externo"
"23933","Irritación gingival"
"23943","Reacción en la zona irradiada"
"23953","Fibrosis en el punto de inyección"
"23963","Infección peritoneal"
"23964","Parodontitis"
"23973","Inflamación en la zona de inserción"
"23983","Infección en el punto de inserción"
"23993","Dolor escapular"
"24003","Rigidez de las extremidades"
"24023","Erupción miliar"
"24043","Dolor de la cadera"
"24053","Erupción cutánea en el punto de inyección"
"24063","Color de la piel en el punto de inyección (modificación)"
"24073","Congestión pulmonar"
"24083","Parálisis palpebral"
"24103","Lesión costrosa palpebral"
"24113","Espasmo vascular en el punto de inyección"
"24123","Prurito en el punto de aplicación"
"24124","Neumopatía aguda"
"24133","Eritema en el punto de aplicación"
"24153","Sensación de quemazón del conducto auditivo externo"
"24183","Edema abdominal"
"24213","Nódulo reumatoide"
"24223","Cuerpos cetónicos plasmáticos (elevación)"
"24233","Glicerilemia (aumento)"
"24243","Obstrucción de las vías urinarias"
"24263","Nicturia"
"24273","Hemorragia alveolar"
"24283","Hipoestesia"
"24293","Trastorno ovárico"
"24303","Reacción anafilactoide"
"24313","Hipertrofia uterina"
"24323","Oligohidrosis"
"24333","Cansancio ocular"
"24343","Hemorragia cutánea"
"24353","Hernia hiatal"
"24363","Enfisema"
"24373","Soplo cardíaco"
"24383","Meningismo"
"24393","Parestesia faringolaríngea"
"24403","Enfermedad de Ledderhose"
"24413","Síndrome oculomucocutáneo de tipo ""practolol"""
"24414","Raquitismo"
"24423","Sensación de constricción faríngea"
"24443","Pausa postextrasistólica"
"24493","Disnea de esfuerzo"
"24513","Hemorragia hepática"
"24533","Proteína C reactiva (aumento)"
"24543","Sensación de quemazón en el punto de inyección"
"24553","Cataplexia"
"24563","Estrabismo"
"24573","Peliosis esplénica"
"24583","Volumen o presión de las cavidades aéreas del organismo (aumento)"
"24593","Trombopenia aguda"
"24603","HDL (aumento)"
"24613","Vasculitis leucocitoclásica"
"24623","Decoloración de la uña"
"24653","Cromatopsia"
"24663","Infiltrado hepático por eosinófilos"
"24683","Afectación mucosa"
"24693","Lengua (modificación)"
"24703","Hemorragia en el punto de inyección"
"24713","Hematoma subdural"
"24714","Escleritis"
"24723","Afectación pleural"
"24733","Trastorno urogenital"
"24753","Varicela (complicaciones cutáneas y de las partes blandas)"
"24763","Sensación de quemazón lingual"
"24773","Estreñimiento grave"
"24793","Ictericia escleral"
"24803","Dolor renal"
"24813","Aneurisma"
"24823","Coagulación en el circuito extracorpóreo"
"24833","Insuficiencia cardíaca derecha"
"24853","Hemorragia en el punto de aplicación"
"24863","Supuración en el punto de aplicación"
"24873","Erupción papulosa en el punto de aplicación"
"24883","Parestesia en el punto de aplicación"
"24893","Descamación en el punto de aplicación"
"24903","Lesión cutánea en el punto de aplicación"
"24913","Erupción vesiculosa en el punto de aplicación"
"24923","Vaginitis atrófica"
"24933","Dolor vaginal"
"24943","Prolapso uterovaginal"
"24953","Dolor genital"
"24973","Agudeza auditiva (modificación)"
"24983","Sequedad faríngea"
"24993","TDAH (empeoramiento)"
"25003","Isquemia (empeoramiento)"
"25023","Quiste paratubario"
"25043","Efecto indeseable asociado a la técnica"
"25063","Hernia abdominal"
"25073","Candidiasis respiratoria"
"25082","Fobia social"
"25083","Neutropenia febril"
"25093","Edema orbitario"
"25103","Hipersudoración nocturna"
"25123","Hipotricosis"
"25133","Anasarca"
"25143","Hemorragia tumoral"
"25163","Trastorno neuromotor"
"25173","Reactivación por radiación"
"25183","Edema de la mucosa bucal"
"25193","Eritema de las extremidades"
"25203","Parestesia craneal"
"25213","Amilosis"
"25223","Movimiento tónico-clónico"
"25233","Hemorroide"
"25253","Ataxia cerebelosa"
"25263","Expulsión del anillo anticonceptivo"
"25273","Sensación de molestia"
"25283","Osteonecrosis de la mandíbula"
"25313","Hemorragia en el punto de incisión"
"25323","Neumopatía por radiación"
"25333","Osteomielitis"
"25353","Linfoedema"
"25363","Cáncer secundario"
"25373","Neuropatía radicular"
"25393","Lentigo"
"25413","Depósito en el segmento anterior del ojo"
"25423","Deslumbramiento"
"25433","Variables biológicas urinarias (anomalía)"
"25453","Cuello del útero (anomalía)"
"25463","Parathormona sérica (aumento)"
"25473","Edema orofaríngeo"
"25493","Absceso dental"
"25503","Dolor dental"
"25513","Síndrome nefrótico (recidiva)"
"25523","Dolor rectal"
"25533","Reacción alérgica ocular"
"25553","Exudado retronasal"
"25563","Hemorragia intraventricular"
"25573","Leucomalacia periventricular"
"25583","Displasia broncopulmonar"
"25593","Hematoma en la herida quirúrgica"
"25594","Úlcera corneal"
"25613","Necrosis vesical"
"25623","Difusión a un músculo distante"
"25633","Vértigo otolítico"
"25643","Disgrafía"
"25653","Fotopsia"
"25663","Oscilopsia"
"25664","Dispepsia"
"25673","Trastorno de la visión estereoscópica"
"25683","Pérdida de visión periférica"
"25693","Halo visual"
"25703","Ronquido"
"25713","Edema articular"
"25733","Hemorragia de los órganos parenquimatosos"
"25743","Hemorragia ocular"
"25753","Regurgitación mitral"
"25763","Embolia"
"25773","Tabique ventricular (anomalía)"
"25783","Vasculitis cerebral"
"25793","Urticaria generalizada"
"25823","Síndrome de fatiga crónica"
"25833","Inflamación"
"25853","Episodio de juego patológico"
"25863","Onicorrexis"
"25872","Pie diabético"
"25873","Onicomadesis"
"25883","Sequedad labial"
"25893","Úlcera labial"
"25894","Algodistrofia"
"25903","Dolor labial"
"25913","Glosodinia"
"25923","Espasmo intestinal"
"25933","Hipoestesia bucal"
"25943","INR (aumento)"
"25953","Dolor hepático"
"25993","Fimosis"
"26003","Haptoglobinemia (disminución)"
"26013","Neumopatía neumocócica"
"26023","Onicopatía"
"26033","Hiperlaxitud articular"
"26043","Rodilla valga"
"26053","Osteopenia"
"26063","Fractura por aplastamiento"
"26073","Escoliosis"
"26083","Síndrome de tipo Ehlers-Danlos"
"26103","Sensación de quemazón retrofaríngea"
"26113","Accidente cerebrovascular isquémico"
"26123","Decoloración de las heces"
"26143","Bradiarritmia"
"26173","Eyección ventricular (disminución)"
"26183","Meningioma"
"26193","Hipertensión intracraneal (empeoramiento)"
"26223","Lesión tras radioterapia"
"26232","Hipoplasia pulmonar"
"26233","Espasmo del masetero"
"26252","Aborto espontáneo"
"26253","Reflejo corneal (disminución)"
"26263","Hematoma espinal"
"26273","Tinción del trayecto venoso"
"26283","Neumopatía infecciosa"
"26293","Dolor de pies"
"26303","Filtración de líquido cefalorraquídeo"
"26313","Quiste cerebral"
"26323","Crecimiento del cabello"
"26333","Trastorno testicular"
"26343","Parestesia en el punto de inyección"
"26353","Necrosis tumoral"
"26363","Tiempo de coagulación (prolongación)"
"26373","Espasmo vesical"
"26383","Ceguera transitoria"
"26393","Radiculalgia"
"26413","Hemartrosis"
"26423","Engrosamiento bucal"
"26433","Engrosamiento de la lengua"
"26443","Supuración en la cicatriz"
"26453","Infección en la cicatriz"
"26463","Edema genital"
"26471","Miocardiopatía"
"26473","Colitis neutropénica"
"26483","Abombamiento de fontanela"
"26493","Golpe de calor"
"26513","Hiperviscosidad sanguínea"
"26523","Trastorno esofágico"
"26533","Espasmo esofágico"
"26543","Contractura abdominal"
"26553","Grieta labial"
"26573","Dolor en la cicatriz"
"26583","Crecimiento del cabello (anomalía)"
"26593","Fascitis plantar"
"26603","Perforación esofágica"
"26613","Edema ocular"
"26633","Basofilia"
"26643","Enfermedad de los inmunocomplejos"
"26653","Bacteriemia"
"26663","Mononeuritis"
"26673","Paresia"
"26683","Hipocinesia ventricular"
"26684","Inducción del parto"
"26693","Ortopnea"
"26694","Deficiencia androgénica"
"26703","Dolor de los senos"
"26713","Dolor inguinal"
"26723","Dolor glúteo"
"26743","Lengua saburral"
"26753","Tuberculosis miliar"
"26763","Dolor esplénico"
"26773","Trastorno de la sensibilidad cutánea"
"26783","Tromboembolia arterial"
"26793","Hipertrofia de endometrio"
"26794","Sequedad cutánea"
"26803","Quiste"
"26814","Eccema de contacto"
"26823","Lesión postquirúrgica (complicación)"
"26833","Hemorragia de la arteria femoral"
"26843","Hemorragia orofaríngea"
"26853","Urticaria en el punto de inyección"
"26873","Edema cervical"
"26883","Obstrucción de las vías respiratorias altas"
"26893","Epilepsia (crisis)"
"26903","Proteinemia total (aumento)"
"26913","Proteinemia total (disminución)"
"26923","Uña estriada"
"26933","Epífora"
"26943","Cuerpos flotantes del humor vítreo"
"26953","Hipertrofia papilar"
"26963","Dolor palpebral"
"26973","Blanqueamiento conjuntival"
"26983","Infiltrado corneal"
"26993","Desprendimiento del vítreo"
"27013","Amigdalitis"
"27023","Infección ungueal"
"27031","Metrorragia"
"27033","Flebotrombosis"
"27043","Sensación de quemazón vaginal"
"27063","Edema de las extremidades superiores"
"27073","Reacción general asociada al punto de aplicación"
"27083","Hemorragia hemorroidal"
"27093","Descompensación corneal"
"27103","Gases sanguíneos (modificación)"
"27113","Hipertrofia ventricular"
"27121","Cáncer de colon"
"27123","Nudosidad reumática"
"27133","Dolor de costado"
"27143","Panadizo"
"27153","Síndrome de Raynaud (reagudización)"
"27163","Resorción ósea"
"27173","Índice de protrombina (modificación)"
"27183","Erisipela"
"27193","Epidermólisis estafilocócica aguda"
"27223","Hepatitis B (reactivación)"
"27233","Enfermedad del cuero cabelludo"
"27243","Ergotismo"
"27253","Ausencia de pulsos"
"27263","Varicocele"
"27273","Inflamación de la cámara anterior del ojo"
"27303","Secreción ocular"
"27313","Hematoma periorbital"
"27323","Reflejo pupilar (disminución)"
"27333","Deformidad pupilar"
"27343","Exudado retiniano"
"27363","Excavación del nervio óptico"
"27373","Prolapso del cuerpo vítreo"
"27383","Cianopsia"
"27393","Inflamación orbitaria"
"27403","Endoftalmia"
"27413","Odinofagia"
"27423","Sensación de calor en el punto de inyección"
"27433","Dolor escrotal"
"27443","Edema testicular"
"27453","Espermatocele"
"27463","Eritema escrotal"
"27473","Anticuerpos antifactor XI"
"27483","Parto anómalo"
"27493","Cardiopatía fetal"
"27503","Aplasia eritrocitaria"
"27513","Triquiasis"
"27533","Hepatitis (reagudización)"
"27543","Lipoatrofia"
"27553","Dolor pleurítico"
"27563","Síndrome de leucoencefalopatía posterior reversible"
"27573","Frotis cervical (anomalía)"
"27583","Hiperemia ciliar"
"27593","Mastitis"
"27603","Reacción penfigoide"
"27613","Expulsión del implante anticonceptivo"
"27623","Migración del implante anticonceptivo"
"27633","Carnitina sérica (disminución)"
"27643","Mielopatía"
"27653","Eritrocito (anomalía)"
"27663","Trastorno ocular"
"27673","Hemorragia del sistema nervioso central"
"27683","Infarto"
"27703","Pseudoquiste pancreático"
"27713","Trombosis de la arteria hepática"
"27723","Estenosis de los canales biliares"
"27733","Trastorno urinario"
"27743","Intolerancia al frío"
"27753","Movilidad (disminución)"
"27763","Tejido adiposo (aumento)"
"27773","Linfoma T hepatoesplénico"
"27783","Enfermedad de Hodgkin"
"27793","Cansancio"
"27803","Enfermedad desmielinizante del sistema nervioso central"
"27813","Apoplejía hipofisaria"
"27823","Tono del esfínter inferior del esófago (disminución)"
"27833","Síndrome oclusivo"
"27843","Mioglobinemia"
"27853","VEMS (disminución)"
"27863","Eritropenia"
"27873","Frecuencia respiratoria (aumento)"
"27883","Dolor uretral"
"27893","Bloqueo auriculoventricular de primer grado"
"27903","Invaginación intestinal"
"27913","Tinción de la leche materna"
"27923","Neumopatía inflamatoria"
"27933","Gonadotropina (disminución)"
"27943","Lesión hepatocelular"
"27953","Factores de coagulación (anomalía)"
"27963","Fibrinogenemia (modificación)"
"27973","Osteonecrosis"
"27983","Enfermedad neurotropa"
"27993","Enfermedad viscerotropa"
"28003","Decoloración de la esclerótica"
"28013","Síndrome de Tietze"
"28033","Tromboflebitis séptica"
"28043","Raquianestesia total"
"28053","Crisis drepanocítica"
"28063","Glucemia (fluctuación)"
"28073","Hipopión"
"28083","Desgarro retiniano"
"28093","Catarata traumática"
"28103","Fibrosis subretiniana"
"28113","Hialitis"
"28123","Degeneración retiniana"
"28143","Estría corneal"
"28153","Destellos de luz"
"28163","Abrasión corneal"
"28183","Nódulo algodonoso"
"28193","Glucohemoglobina (aumento)"
"28203","Equimosis en el punto de inyección"
"28223","Síndrome de desmielinización osmótica"
"28233","Agotamiento"
"28243","Obstrucción del canal de Stenon"
"28253","Trastorno uretral"
"28263","Insuficiencia cardíaca congestiva (empeoramiento)"
"28273","Ardor en el trayecto venoso"
"28283","Barro biliar"
"28284","Septicemia"
"28293","Hemólisis aguda"
"28303","Dolor facial"
"28313","Necrosis vascular"
"28323","Fibrosis sistémica nefrogénica"
"28333","Retinopatía diabética"
"28353","Decoloración de la barba"
"28363","Molestia anal"
"28372","Hipogammaglobulinemia"
"28393","Mioclonía (empeoramiento)"
"28403","Síndrome esclerodermiforme"
"28413","Piuria"
"28423","Osteítis"
"28433","Síndrome coronario agudo"
"28443","Trastorno de las partes blandas de la boca"
"28453","Alveolitis alérgica"
"28513","Leiomioma uterino (aumento del tamaño)"
"28523","Acumulación de líquido en el punto de inserción"
"28533","Disnatremia"
"28543","Trombosis coronaria"
"28553","Irritabilidad en el punto de aplicación"
"28563","Dermatitis en el punto de aplicación"
"28573","Hiperestesia en el punto de aplicación"
"28583","Cicatriz en el punto de aplicación"
"28593","Ulceración en el punto de aplicación"
"28594","Prurito genital"
"28603","Sensación de calor en el punto de aplicación"
"28613","Embolia grasa"
"28623","Catecolaminas (aumento de los requerimientos)"
"28633","Miositis osificante"
"28643","Contusión"
"28653","Hemorragia escleral"
"28663","Dolor pleural"
"28673","Enfermedad inflamatoria del abdomen"
"28683","Diverticulitis"
"28693","Necrosis avascular"
"28703","Dolor de los pezones"
"28713","Síndrome del iris flácido peroperatorio"
"28723","Fascitis necrosante"
"28733","Panoftalmia"
"28743","Sensación pulsátil"
"28753","PSA (aumento)"
"28763","Fluctuación motora"
"28773","Bradicinesia"
"28783","Molestia bucal"
"28813","Neumopatía de inhalación"
"28823","Hemoglobinemia (aumento)"
"28833","Alodinia"
"28843","Cefalea tensional"
"28853","Polineuropatía"
"28863","Xerodermia"
"28893","Ganglios linfáticos (tumefacción)"
"28903","Convulsión febril"
"28913","Miopericarditis"
"28923","Glomeruloesclerosis segmentaria focal"
"28933","Osteonecrosis aséptica de las cabezas femorales"
"28934","Hiposialia"
"28943","Dolor faringolaríngeo"
"28963","Nivel de linfocitos CD4 (disminución)"
"28973","Endometritis"
"28983","Inflamación pélvica"
"28993","Confusión mental (empeoramiento)"
"29003","Obesidad del tronco"
"29023","Enfermedad uterina"
"29033","Enfermedad vulvovaginal"
"29054","Hipertrofia benigna de la próstata"
"29063","Presión arterial (aumento)"
"29083","Melanoniquia"
"29123","Induración cutánea"
"29133","Vesícula en el punto de inyección"
"29143","Edema de Quincke (empeoramiento)"
"29153","Alucinación (empeoramiento)"
"29163","Desorientación temporoespacial (empeoramiento)"
"29173","Hipersexualidad"
"29183","Sensación de quemazón labial"
"29193","Inflamación de las trompas de Eustaquio"
"29203","Metioninemia (aumento)"
"29213","Septicemia meningocócica"
"29243","Pterigión"
"29253","Quiste subconjuntival"
"29263","Queratosis liquenoide"
"29273","Dermatosis tras extravasación"
"29274","Hipoalbuminemia"
"29283","Descamación tras extravasación"
"29293","Ulceración tras extravasación"
"29313","Reacciones asociadas a la infusión"
"29323","Queratoacantoma"
"29333","Crecimiento de las pestañas"
"29343","Hiperemia ocular"
"29353","Síndrome de restauración inmunitaria"
"29363","INR (disminución)"
"29373","Indolencia"
"29383","Fístula"
"29393","Disfunción primaria del injerto"
"29403","Accidente vascular isquémico"
"29404","Carencia de vitamina A"
"29413","Ecocardiograma (anomalía)"
"29423","Cejas (modificación)"
"29433","Pestañas (modificación)"
"29443","Fístula gastrointestinal"
"29463","Fístula urogenital"
"29483","Síndrome de Vogt-Koyanagi-Harada"
"29493","Perforación gastrointestinal"
"29513","Insuficiencia ventricular"
"29523","Sensación de molestia abdominal"
"29533","Dolor musculoesquelético"
"29543","Choque hemorrágico"
"29553","Enrojecimiento de la lengua"
"29563","Lengua papulosa"
"29573","Edema bucal"
"29583","Botriomicoma"
"29593","Tirotropina (aumento)"
"29613","Hipertrofia auricular"
"29623","Insuficiencia de la válvula tricúspide"
"29643","Hipertrofia del timo"
"29653","Hipertrofia amigdalar"
"29663","Hipertrofia de las vegetaciones adenoides"
"29683","Acrocordon"
"29693","Afección de los tejidos blandos"
"29713","Convulsión hipoglucémica"
"29733","Otitis media serosa crónica"
"29753","Terror nocturno"
"29763","Trastorno de la reproducción"
"29773","Pruebas funcionales pancreáticas (anomalías)"
"29783","Neumonitis"
"29793","Tubulopatía renal proximal"
"29803","Trastorno orgásmico"
"29823","Desgarro del epitelio pigmentario retiniano"
"29843","Embolia periférica"
"29853","Displasia del cuello uterino"
"29873","Lagoftalmia"
"29883","Debilidad de los músculos faciales"
"29893","Plexopatía braquial"
"29943","Proteinosis pulmonar alveolar"
"29953","Diarrea grave"
"29983","Lasitud"
"29993","Debilidad"
"30003","Encefalitis"
"30023","Meningioma (empeoramiento)"
"30033","Hemangioma hepático (empeoramiento)"
"30043","Sedimento urinario"
"30053","Reacción en el punto de aplicación"
"30063","Absceso en el punto de aplicación"
"30083","Atrofia en el punto de aplicación"
"30093","Equimosis en el punto de aplicación"
"30103","Molestia en el punto de aplicación"
"30113","Sequedad en el punto de aplicación"
"30123","Eccema en el punto de aplicación"
"30133","Erosión en el punto de aplicación"
"30143","Excoriación en el punto de aplicación"
"30153","Exfoliación en el punto de aplicación"
"30163","Induración en el punto de aplicación"
"30173","Infección en el punto de aplicación"
"30203","Olor en el punto de aplicación"
"30223","Costra en el punto de aplicación"
"30233","Urticaria en el punto de aplicación"
"30243","Decoloración en el punto de aplicación"
"30253","Hipersensibilidad en el punto de aplicación"
"30263","Edema generalizado"
"30273","Pústula en el punto de aplicación"
"30323","Malformación congénita"
"30333","Embolia amniótica"
"30343","Aborto incompleto"
"30353","Nacimiento prematuro"
"30363","Cólico abdominal"
"30373","Molestia abdominal"
"30383","Frustración"
"30393","Trombosis vascular de una extremidad"
"30403","Trombosis del tronco basilar"
"30413","Trombosis de la arteria cerebral"
"30423","Trombosis cerebrovascular"
"30433","Trombosis del seno venoso intracraneal"
"30443","Accidente cerebrovascular tromboembólico"
"30453","Trombosis del seno sagital superior"
"30463","Trombosis de la vena axilar"
"30473","Trombosis de la vena hepática"
"30483","Necrosis del glande"
"30493","Necrosis de los cuerpos eréctiles"
"30503","Trombosis pulmonar"
"30513","Vesícula en el punto de aplicación"
"30522","Mielodisplásico, síndrome"
"30533","Trombosis carotídea"
"30541","Porfiria variegata"
"30543","Trombosis de la arteria ilíaca"
"30553","Trombosis venosa yugular"
"30563","Trombosis intracardíaca"
"30573","Trombosis venosa pélvica"
"30581","Neurosis"
"30583","Trombosis venosa renal"
"30591","Esclerosis múltiple"
"30613","Trombosis de la vena cava"
"30633","Síndrome de activación macrofágica"
"30643","Vasculitis asociada a ANCA positiva"
"30653","Perforación de la cornea"
"30663","Melanoma maligno (activación)"
"30673","Signos de despertar durante la anestesia"
"30683","Acortamiento del intervalo QT"
"30693","Hemorragia cardiovascular"
"30703","Hemorragia muscular"
"30713","Anisocitosis"
"30723","Síndrome de las piernas inquietas (empeoramiento)"
"30733","Saciedad gastrointestinal"
"30741","Miocardiopatía hipertrófica"
"30743","Hemorragia postcoital"
"30753","Pólipo cervical"
"30754","Carencia de folatos"
"30761","Hipofosfatemia"
"30763","Atrofia de endometrio"
"30773","Broncoespasmo paradójico"
"30793","Traqueobronquitis"
"30803","Disfasia"
"30812","Inflamación vesical"
"30823","Disestesia bucal"
"30843","Xerosis"
"30863","Herpes zóster (reactivación)"
"30873","Manos temblorosas"
"30883","Molluscum contagiosum"
"30893","Eritema faríngeo"
"30913","LDL (aumento)"
"30923","Nefropatía por virus BK"
"30943","Hematoma del psoas"
"30953","Hemorragia intraabdominal"
"30963","Hemorragia intraarticular"
"30983","Demencia (empeoramiento)"
"30991","Sepsis"
"30993","Fenilalaninemia (disminución)"
"31001","Absceso"
"31013","Compra compulsiva"
"31023","Anticuerpos antiromiplostim"
"31043","Decoloración en la zona de inyección"
"31063","Fibromialgia"
"31073","Necrosis de colon"
"31093","Sensación de saciedad"
"31103","Reticulina (aumento)"
"31123","Ideación homicida"
"31133","Rigidez musculoesquelético"
"31143","Síntomas de la menopausia"
"31153","Corea (reagudización)"
"31163","Quiste ovárico hemorrágico"
"31173","Hemorragia del cuerpo lúteo"
"31183","Equinismo"
"31193","Secreción mamaria"
"31203","Eritroblastosis"
"31213","Nódulo mamario"
"31223","Anomalía morfológica de los neutrófilos"
"31233","Sofocación"
"31243","Impétigo en el lugar de aplicación"
"31273","Hemorragia varicosa"
"31293","Quiste mamario"
"31303","Ruptura de quiste ovárico"
"31323","Fractura de estrés"
"31333","Perforación del globo ocular"
"31343","Necrosis en el lugar de aplicación"
"31363","Hiperreactividad bronquial"
"31373","Dilatación de las vías urinarias"
"31383","Crecimiento de las manos"
"31393","Crecimiento de los pies"
"31403","Conjuntivitis folicular"
"31413","Congestión ocular"
"31433","Irritación conjuntival"
"31443","Absceso perianal"
"31453","Trombocitopenia autoinmune"
"31463","Síndrome de respuesta inflamatoria sistémica"
"31473","Efecto de la resaca"
"31483","Maceración cutánea"
"31493","Cicatriz corneal"
"31503","Queratitis ulcerosa"
"31513","Derrame coroideo"
"31523","Conjuntivitis papilar"
"31533","Trastorno paratiroideo"
"31543","Hipocapnia"
"31563","Infección por Helicobacter"
"31573","Laberintitis"
"31574","Anitis"
"31583","Feminización"
"31593","Edema de la mucosa nasal"
"31603","Eosinopenia"
"31613","Distasia"
"31621","Retraso en el crecimiento intrauterino"
"31623","Espondilitis anquilosante"
"31643","Barotraumatismo"
"31653","Fibroplasia retrolental"
"31663","Hematoma cerebral"
"31671","Hematoma retroplacentario"
"31673","Hemorragia subdural"
"31683","Cor pulmonar"
"31694","Esquizofrenia"
"31703","Edema del embarazo"
"31713","Edema de pene"
"31723","Edema de picaduras"
"31743","Úlcera nasal"
"31753","Eritema indurado de Bazín"
"31762","Otitis media"
"31763","Hematoma en el sitio de punción"
"31773","Trastorno de la secreción salivar"
"31803","Síndrome postinyección"
"31813","Linfomatosis"
"31833","Absceso perineal"
"31843","Esofagitis por radiación"
"31883","Infección de la cavidad bucal"
"31913","Queilitis angular"
"31923","Anticuerpos antitiroideos"
"31933","Tiroglobulina (aumento)"
"31942","Trastorno del estado de alerta"
"31953","Parálisis flácida"
"31963","Exacerbación tumoral"
"31973","Eritema vaginal"
"31983","Edema vaginal"
"31993","Enoftalmia"
"32003","Neumatosis cistoide intestinal"
"32013","Precipitación cálcica pulmonar"
"32023","Calcinosis en el punto de inyección"
"32033","Hernia"
"32043","Dedo en gatillo"
"32053","Luxación"
"32063","Alteración del color de la mucosa bucal"
"32083","Afectación de la mucosa bucal"
"32093","Dilatación de las vías biliares"
"32103","Diuresis osmótica"
"32113","Pigmentación (modificación)"
"32123","Neuritis acústica"
"32153","Bacteriuria"
"32173","Hemorragia auricular"
"32183","Presbicia"
"32193","Aura"
"32203","Hiposmia"
"32213","Apraxia"
"32223","Hipersecreción nasal"
"32243","Pielonefritis"
"32253","Discaliemia"
"32263","Alergia alimentaria (empeoramiento)"
"32273","Acrodermatitis"
"32283","Hipoestesia faríngea"
"32293","Relación copa/disco (aumento)"
"32301","Balanitis"
"32303","Celulitis infecciosa"
"32313","Madarosis"
"32333","TSH (disminución)"
"32343","Perforación diverticular"
"32353","Nefropatía tubulointersticial"
"32363","Molestia epigástrica"
"32383","Abasia"
"32393","Seudogota"
"32403","Infección parpebral"
"32413","Irritación parpebral"
"32433","Morfología facial (modificación)"
"32443","Erosión del cuello del útero (modificación)"
"32453","Molestia torácica"
"32463","Hematuria (empeoramiento)"
"32473","Inflamación nasofaríngea"
"32483","Necrosis de la cadera"
"32493","Heces duras"
"32503","Exploración de la función hepática (anomalía)"
"32553","Metástasis peritoneal"
"32563","Síndrome parkinsoniano (empeoramiento)"
"32573","Escozor en el punto de inyección"
"32581","Desprendimiento de placenta"
"32583","Colitis (empeoramiento)"
"32603","Infección gingival"
"32613","Insuficiencia valvular aórtica"
"32623","Cefalea ortostática"
"32633","Elasticidad cutánea (disminución)"
"32643","Migración del implante"
"32653","Cáncer rectosigmoide"
"32663","PH urinario (aumento)"
